Time (ms),Potentiometer Value,Thermistor Value
0,0,440
200,0,440
401,0,440
602,0,440
802,0,440
1003,0,440
1204,0,440
1404,0,440
1605,0,440
1806,0,440
2007,0,440
2207,0,440
2408,0,440
2609,0,440
2809,0,440
3010,0,440
3211,0,440
3411,0,440
3612,0,440
3813,0,440
4014,0,440
4214,0,440
4415,0,440
4616,0,440
4816,0,440
5017,0,440
5218,0,440
5419,0,440
5619,0,440
5820,0,439
6021,0,439
6221,0,440
6422,0,440
6623,0,440
6823,0,440
7024,0,440
7225,0,440
7426,0,440
7626,0,441
7827,0,441
8028,0,440
8228,0,440
8429,107,440
8630,288,440
8830,543,445
9031,764,440
9232,921,446
9433,1018,445
9633,1018,448
9834,1018,447
10035,1018,442
10235,1018,442
10437,1018,441
10638,1017,441
10839,1018,441
11039,1018,441
11240,1018,441
11441,1018,441
11642,1018,441
11843,1018,441
12044,1018,441
12244,1018,441
12445,1019,441
12646,1018,441
12848,1019,441
13048,1018,441
13249,1019,441
13450,1019,441
13650,1019,441
13852,1019,441
14053,1019,441
14254,1019,441
14454,1019,441
14655,1019,441
14856,1019,441
15057,1019,441
15258,1019,441
15459,1019,441
15660,1019,441
15860,1019,441
16061,1019,441
16263,1019,441
16463,1019,441
16664,1019,441
16865,1019,441
17065,1019,441
17266,1019,441
17468,1019,441
17669,1018,441
17869,996,441
18070,880,441
18271,694,442
18471,385,440
18672,53,440
18874,0,440
19075,0,440
19275,0,440
19476,0,440
19677,0,440
19877,0,440
20078,0,440
20279,0,440
20480,0,440
20680,0,440
20881,0,440
21082,0,440
21282,0,440
21483,0,440
21684,0,440
21884,0,440
22085,0,440
22286,0,440
22487,0,440
22687,0,440
22888,0,440
23089,0,440
23289,0,440
23490,0,440
23692,0,441
23892,0,441
24093,0,441
24294,0,441
24495,0,441
24695,0,441
24896,0,441
25097,0,441
25297,0,441
25498,0,441
25699,0,441
25900,0,441
26100,11,441
26301,114,441
26502,250,441
26702,429,445
26903,567,442
27105,705,448
27305,815,441
27506,907,448
27707,987,447
27908,1019,447
28108,1019,449
28309,1019,448
28511,1019,448
28711,1019,449
28912,1019,446
29113,1019,446
29314,1019,446
29514,1020,446
29716,1019,443
29917,1018,443
30117,1019,442
30318,1019,442
30519,1018,442
30720,1018,442
30921,1018,442
31122,1018,442
31323,1019,441
31523,1018,442
31724,1019,441
31925,1019,441
32126,1019,441
32327,1019,441
32528,1019,441
32729,1019,441
32929,1019,441
33131,1019,441
33332,1019,441
33532,1019,442
33733,1019,442
33934,1019,444
34135,1019,444
34336,1019,444
34537,910,443
34738,699,444
34938,403,443
35139,152,439
35340,35,439
35540,0,439
35741,0,439
35942,0,439
36143,0,439
36343,0,439
36544,0,439
36746,0,439
36946,0,439
37147,0,439
37348,0,439
37549,0,439
37749,0,439
37950,0,439
